ID	Nome	Tipo	Material	Datação	Escola ou movimento	Autoria	TIpo de produção	Técnica de Composição	Materiais	Estético	Técnicas de construção/Funcionalidades
1	Cadeira Wassily	Design de Transportes	tubos de aço cromados e faixas de Eisengarn	1925	Bahaus	Marcel Breuer	Produção industrial	A estrutura de estrutura da cadeira Wassily, com tubos de aço curvos de 20 mm de diâmetro, foi um desafio direto à tradição. Era flexível, mas firme, moderna, mas confortável. Breuer definiu o projeto final em 1925, embora tenha polido até 1928. A cadeira original mobiliava os cômodos da Bauhaus em Dessau, e sua primeira produção foi realizada pela Standard Möbel, uma empresa fundada pelo próprio Breuer, que posteriormente absorveu a Thonet.  O nome da cadeira, no entanto, viria décadas depois. Foi o designer italiano Dino Gavina quem, nos anos 60, descobriu o modelo B3 e o renomeou para Wassily, ao saber que Kandinsky, mentor e amigo de Breuer, havia sido um dos primeiros a se interessar por ele. Em 1968, após a aquisição da Gavina SpA pela empresa americana Knoll, a cadeira Wassily passou a fazer parte do design internacional.	Aço, Tecido	Geométrico, Ortogonal, Linhas contínuas	Dobrável, Articulação mecânica, Padronização, Encaixe
2	 Cadeira Africana	Assento	madeira de carvalho pintado e revestimento têxtil colorido	1921	Bahaus	Marcel Breuer, Gunta Stölzl	Produção artesanal	A "Cadeira Africana" é um objeto de cadeira com cinco pernas presas a uma placa de assento circular com pinos claramente visíveis. Todas as partes de madeira são pintadas em vermelho, azul e dourado em diferentes larguras de listras; o assento redondo é pintado exatamente metade de vermelho e metade azul. Sobre ela há uma almofada quadrada com tecelagem de tapeçaria, semelhante ao encosto.	Madeira, Tecido, Estofado	Assimétrico, Linhas contínuas	Tensionamento, Postura fixa, Moldagem a vapor, Encaixe
3	Cadeira de balanço	Assento	Aço e palha traçada	1927	Bahaus	Ludwig Mies van der Rohe	Design Assinado	Esta cadeira consiste em uma única estrutura de tubos de aço niquelado curva em forma de cantilever. O trabalho com cana da cadeira vem de sua associada, a arquiteta Lilly Reich.	Aço, Palhinha	Curvilíneo, Escultural, Texturizado, Orgânico, Cilíndrico	Tensionamento, Postura fixa, Curvatura de metal
4	Cadeira Brno	Assento	Aço, couro ou tecido.	1930	Bahaus	Ludwig Mies van der Rohe	Produção industrial	A Cadeira de Brno tem uma estrutura em balanço, uma mudança em relação às tradicionais cadeiras de quatro patas. Sua elegância estrutural e design ergonômico contribuem tanto para o conforto quanto para a leveza visual. 	Tecido, Aço, Couro	Escultural, Curvilíneo, Orgânico	Postura fixa, Curvatura de metal, Encaixe
5	Tapeçaria de Parede (Wall Hanging)	Artigo têxtil	Tecido	1926	Bauhaus	Gunta Stölzl	Produção artesanal	Desenvolvida na oficina de tecelagem, a peça rompe com a tradição figurativa para aplicar uma composição inteiramente abstrata e geométrica, explorando o contraste cromático, a repetição e as intersecções de blocos de cor diretamente através da trama complexa do tear.	Tecido	Curvilíneo, Escultural, Orgânico	Tecelagem, Tensionamento
6	Cadeira Colorful Woven	Assento	Madeira e Tecido	1921	Bauhaus	Marcel Breuer e Gunta Stölzl	Produção artesanal	Estrutura de madeira maciça unida por junções ortogonais simples, complementada por assento e encosto formados por uma trama têxtil manual de alta tensão, com padronagem geométrica colorida.	Madeira, Tecido	Curvilíneo, Orgânico, Minimalista	Encaixe, Tecelagem, Tensionamento, Estrutura fixa
7	Poltrona Barcelona	Assento	Aço e Couro	1929	Bauhaus	Ludwig Mies van der Rohe e Lilly Reich	Design Assinado	Estrutura em aço baseada no cruzamento em X projetada para o Pavilhão Alemão na Exposição de Barcelona, contendo tiras que sustentam almofadas com acabamento em botonê.	Aço, Couro	Texturizado, Minimalista	Curvatura de metal, Soldagem, Postura fixa, Tensionamento
8	Cadeira Cesca (Modelo B32)	Assento	Aço, Madeira e Palhinha	1928	Bauhaus	Marcel Breuer	Produção industrial	Pioneira no uso estrutural do balanço em tubo de aço contínuo sem pernas traseiras (cantilever), combinando o rigor industrial do metal com assento e encosto de molduras de madeira e palhinha trançada.	Aço, Madeira, Palhinha	Escultural, Linhas contínuas, Minimalista	Curvatura de metal, Postura flexível, Tecelagem, Encaixe
9	Berço Bauhaus	Berço	Madeira, Aço e Palhinha	1922	Bauhaus	Peter Keler	Produção artesanal	Desenvolvido com base na teoria das formas e cores de Wassily Kandinsky, utilizando o triângulo, o quadrado e o círculo. A estrutura de madeira colorida recebe fechamento lateral em palhinha trançada e apoia-se sobre anéis metálicos que funcionam como sistema físico de balanço.	Madeira, Aço, Palhinha	Assimétrico	Encaixe, Tecelagem, Curvatura de metal, Estrutura fixa
10	Mesas de encaixe B9	Mesa	Aço e Madeira	1925	Bauhaus	Marcel Breuer	Design Assinado	Conjunto de pequenas mesas desenhadas a partir da dobra contínua de tubos de aço que servem de base para tampos simples de madeira, com proporções geometricamente calculadas para permitir que sejam guardadas uma debaixo da outra, otimizando o espaço.	Aço, Madeira	Curvilíneo, Escultural, Minimalista, Reflexivo	Design aninhável, Curvatura de metal, Encaixe, Estrutura fixa
